,dates,hour,Resistance.Energy,Daikin.Leg1,HX.Loop.Pump,Daikin.Leg2,Heat.Trace.Leg1,Heat.Trace.Leg2,Daikin.Power,HX.Loop.Pump.Power,Resistance.Power,Heat.Trace.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,Water.HX.Inlet.Temp,Water.HX.Outlet.Temp,City.Water.Temp,Water.To.TrimTank.Temp,Water.To.Fixtures.Temp,Garage.Temp,HX.Loop.Flow,value,Garage.RH,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2016-08-11,276,5108430.45,16829.100000000006,1003.4099999999999,16246.159999999998,37612.310000000005,587294.8899999999,19240.000000000004,579.9999999999999,8929.99999999983,17819.999999999996,34738.59822332744,579.9999999999993,19256.0,2087.1129322033903,2838.054500000002,870.8221293290044,2536.2436666666654,2774.6579999999985,1711.9765000000002,17.864549999999998,243.115,1388.7615000000003,24,77.79199999999999,7,0.3199802562573267,growB
1,2016-08-12,276,5121521.58,30960.820000000003,1875.2300000000002,29905.859999999997,50754.469999999994,599712.2,19660.0,669.9999999999998,9340.00000000014,17689.999999999996,36733.655692435466,670.0000000000002,19668.000000000007,2155.5331129943506,2837.6506666666664,810.7538316245158,2536.804499999998,2767.589793785311,1756.0914022988504,20.968966666666667,270.7640000000001,1357.9885000000002,24,98.724,9,0.3646127254731056,growB
2,2016-08-13,276,5134673.330000002,44557.3,2803.889999999999,43098.54000000001,63801.399999999994,612038.46,17800.0,610.0000000000001,8329.999999999922,17589.999999999975,36406.8684302462,610.0000000000001,17765.000000000007,2195.421988700565,2840.3368333333356,884.6846097351221,2564.786666666667,2793.9449180790957,1816.4368333333334,18.625199999999996,267.036,1288.4506666666668,24,84.52399999999999,19,0.3165266106442577,growB
3,2016-08-16,276,5172344.950000001,86100.56,5449.219999999999,83195.2,102976.54000000001,649010.74,20820.00000000002,720.0000000000001,8849.999999999913,17649.999999999975,45532.806564829996,719.0000000000002,20822.000000000007,2145.5744999999997,2842.395499999999,813.8237631325196,2573.1187824858766,2794.469333333331,1800.1929999999998,22.09093333333333,307.42799999999977,1190.3695000000002,24,149.5999999999998,7,0.48661800486617984,growB
4,2016-08-17,276,5186214.140000001,101657.81,6473.59,98004.98999999999,116068.71999999997,661368.4500000001,20799.999999999996,699.9999999999993,9920.00000000007,17730.000000000015,46759.8102436108,701.0000000000005,20797.999999999996,2163.6820000000002,2836.983333333334,1071.5957325226332,2575.8424999999993,2811.4774322033886,1792.8461494252874,21.41773333333334,356.7960000000003,1153.1016666666665,24,176.52800000000013,7,0.4947589098532495,growB
5,2016-08-18,276,5199263.41,117440.97000000002,7588.410000000001,112995.06000000001,129217.98999999999,673785.14,21449.999999999993,809.999999999999,9039.999999999964,17730.000000000015,48889.549722614065,809.9999999999997,21451.999999999993,2137.3896242937853,2842.6867909604516,1072.7441752136751,2621.6081666666655,2824.780000000001,1815.6978505747127,24.783733333333338,362.0319999999998,1105.9631666666664,24,160.07199999999995,6,0.4421487603305786,growB
6,2016-08-19,276,5211238.760000001,131341.53,8552.490000000002,126356.95000000004,142286.15000000002,686119.0799999998,18140.000000000015,610.0000000000001,8259.999999999762,17610.000000000015,42279.79328018752,610.0000000000007,18143.000000000004,2156.009333333334,2846.1252853107353,1141.1090347409404,2606.5129999999986,2776.809666666668,1878.1363333333334,19.086466666666656,338.09600000000006,907.1871666666668,24,127.15999999999995,7,0.3761061946902653,growB
7,2016-08-20,276,5223129.799999999,145262.11,9452.189999999999,139668.45000000004,155328.15000000002,698422.2399999999,20750.000000000004,709.9999999999995,7539.999999999967,17639.99999999998,53239.164019015625,709.9999999999995,20747.0,2144.300132768363,2844.909446327684,948.4765378079436,2589.7596949152557,2765.6006666666663,1887.974833333333,21.74186666666668,389.708,894.7773333333334,24,154.836,15,0.39731285988483683,growB
8,2016-08-23,276,5246865.49,190986.81999999998,12544.399999999998,183025.57,194134.05,733065.22,18021.818181818162,539.9999999999993,9054.545454545449,17897.272727272655,34244.46819413039,542.4242424242415,18022.727272727243,2214.0154848484854,2838.6633739085805,883.8594227261701,2524.1158138161277,2721.704957113509,1745.7038181818182,16.62146666666668,238.74799999999996,1043.4304848484849,24,82.27999999999997,7,0.34463115921389914,growB
9,2016-08-24,276,5278554.749999999,206209.95000000007,13482.310000000003,197709.80999999997,208101.24999999994,748149.8399999999,21090.000000000033,680.0000000000018,9369.999999999889,17910.000000000076,40975.3556967274,680.0000000000014,21070.00000000002,2127.627336158192,2835.5269152542373,946.0832459213374,2554.839666666666,2767.590672316385,1712.9981666666667,20.93153333333332,278.992,1162.7134999999998,24,94.99599999999995,7,0.34049721855823806,growB
